project,revision,numberofbugs,days
ActiveMQ,467685,1,0
ActiveMQ,468913,2,97
ActiveMQ,469972,1,0
ActiveMQ,470390,2,387
ActiveMQ,470695,2,1254
ActiveMQ,471837,7,1414
ActiveMQ,472157,8,1993
ActiveMQ,472345,5,832
ActiveMQ,474475,10,802
ActiveMQ,474674,1,0
ActiveMQ,474799,5,2282
ActiveMQ,474926,1,0
ActiveMQ,474985,1,0
ActiveMQ,474986,1,0
ActiveMQ,475701,2,315
ActiveMQ,475775,1,0
ActiveMQ,475848,4,416
ActiveMQ,476093,1,0
ActiveMQ,476100,3,648
ActiveMQ,476101,17,2469
ActiveMQ,477166,2,142
ActiveMQ,477567,3,474
ActiveMQ,478509,2,3
ActiveMQ,478967,6,2341
ActiveMQ,479089,7,1034
ActiveMQ,479094,7,1834
ActiveMQ,479145,2,339
ActiveMQ,479156,8,1578
ActiveMQ,479614,7,826
ActiveMQ,479639,2,1919
ActiveMQ,480072,3,1695
ActiveMQ,480575,1,0
ActiveMQ,480731,6,1405
ActiveMQ,480862,1,0
ActiveMQ,481742,3,1491
ActiveMQ,487235,2,1302
ActiveMQ,488958,1,0
ActiveMQ,490007,7,1562
ActiveMQ,490174,2,17
ActiveMQ,490792,1,0
ActiveMQ,490794,3,1417
ActiveMQ,490796,1,0
ActiveMQ,490814,5,449
ActiveMQ,491089,2,70
ActiveMQ,491185,2,246
ActiveMQ,491346,2,334
ActiveMQ,491452,1,0
ActiveMQ,491455,1,0
ActiveMQ,492373,1,0
ActiveMQ,492380,3,790
ActiveMQ,492461,5,1848
ActiveMQ,493226,2,339
ActiveMQ,493241,2,1226
ActiveMQ,493696,1,0
ActiveMQ,494331,1,0
ActiveMQ,494950,1,0
ActiveMQ,495172,1,0
ActiveMQ,499478,1,0
ActiveMQ,499760,6,1498
ActiveMQ,500862,12,2200
ActiveMQ,502054,6,2254
ActiveMQ,503176,6,474
ActiveMQ,503680,11,1323
ActiveMQ,503694,1,0
ActiveMQ,504235,1,0
ActiveMQ,504501,1,0
ActiveMQ,504798,1,0
ActiveMQ,504999,21,1417
ActiveMQ,506415,2,1462
ActiveMQ,507717,2,142
ActiveMQ,509115,1,0
ActiveMQ,509552,1,0
ActiveMQ,509563,3,551
ActiveMQ,509706,2,1521
ActiveMQ,509717,1,0
ActiveMQ,509728,1,0
ActiveMQ,509912,1,0
ActiveMQ,510843,1,0
ActiveMQ,511088,1,0
ActiveMQ,511598,3,855
ActiveMQ,511784,1,0
ActiveMQ,511947,1,0
ActiveMQ,512259,1,0
ActiveMQ,512497,1,0
ActiveMQ,512640,4,1217
ActiveMQ,513455,7,647
ActiveMQ,513467,1,0
ActiveMQ,513921,3,346
ActiveMQ,514131,4,779
ActiveMQ,514593,1,0
ActiveMQ,514668,2,27
ActiveMQ,514694,3,1828
ActiveMQ,514720,1,0
ActiveMQ,514754,2,1637
ActiveMQ,515054,3,296
ActiveMQ,515084,1,0
ActiveMQ,515284,1,0
ActiveMQ,515524,1,0
ActiveMQ,515556,1,0
ActiveMQ,515574,2,716
ActiveMQ,515576,7,2500
ActiveMQ,515602,1,0
ActiveMQ,515622,1,0
ActiveMQ,515625,2,316
ActiveMQ,515630,2,70
ActiveMQ,515863,2,401
ActiveMQ,515999,1,0
ActiveMQ,516048,1,0
ActiveMQ,516408,1,0
ActiveMQ,516475,3,797
ActiveMQ,516492,1,0
ActiveMQ,517753,4,1518
ActiveMQ,518437,3,631
ActiveMQ,518590,1,0
ActiveMQ,518632,1,0
ActiveMQ,518638,1,0
ActiveMQ,518745,1,0
ActiveMQ,519233,1,0
