project,bug,bug-introducing_changes,days
ActiveMQ,AMQ-2349,32,1894
ActiveMQ,AMQ-2350,2,2
ActiveMQ,AMQ-2351,5,417
ActiveMQ,AMQ-2356,23,1305
ActiveMQ,AMQ-2359,3,609
ActiveMQ,AMQ-2360,2,607
ActiveMQ,AMQ-2364,1,0
ActiveMQ,AMQ-2366,2,278
ActiveMQ,AMQ-2398,2,202
ActiveMQ,AMQ-2400,6,635
ActiveMQ,AMQ-2401,10,812
ActiveMQ,AMQ-2413,1,0
ActiveMQ,AMQ-2414,8,1364
ActiveMQ,AMQ-2426,7,1142
ActiveMQ,AMQ-2430,1,0
ActiveMQ,AMQ-2435,1,0
ActiveMQ,AMQ-2436,1,0
ActiveMQ,AMQ-2437,1,0
ActiveMQ,AMQ-2439,42,1353
ActiveMQ,AMQ-2440,20,1549
ActiveMQ,AMQ-2441,4,788
ActiveMQ,AMQ-2442,1,0
ActiveMQ,AMQ-2443,1,0
ActiveMQ,AMQ-2448,12,1347
ActiveMQ,AMQ-2449,8,1360
ActiveMQ,AMQ-2457,1,0
ActiveMQ,AMQ-2458,1,0
ActiveMQ,AMQ-2463,2,1004
ActiveMQ,AMQ-2464,6,1863
ActiveMQ,AMQ-2468,10,1025
ActiveMQ,AMQ-2470,1,0
ActiveMQ,AMQ-2472,2,1130
ActiveMQ,AMQ-2473,14,1469
ActiveMQ,AMQ-2475,17,1628
ActiveMQ,AMQ-2478,1,0
ActiveMQ,AMQ-2481,14,1364
ActiveMQ,AMQ-2483,35,1432
ActiveMQ,AMQ-2486,5,1338
ActiveMQ,AMQ-2487,11,1344
ActiveMQ,AMQ-2488,5,1886
ActiveMQ,AMQ-2489,3,423
ActiveMQ,AMQ-2490,20,1505
ActiveMQ,AMQ-2493,1,0
ActiveMQ,AMQ-2511,11,1157
ActiveMQ,AMQ-2512,13,1503
ActiveMQ,AMQ-2513,2,0
ActiveMQ,AMQ-2519,7,1453
ActiveMQ,AMQ-2524,34,2027
ActiveMQ,AMQ-2525,3,820
ActiveMQ,AMQ-2526,10,1928
ActiveMQ,AMQ-2527,4,486
ActiveMQ,AMQ-2528,1,0
ActiveMQ,AMQ-2529,1,0
ActiveMQ,AMQ-2530,4,1285
ActiveMQ,AMQ-2533,2,7
ActiveMQ,AMQ-2540,10,1404
ActiveMQ,AMQ-2548,1,0
ActiveMQ,AMQ-2553,1,0
ActiveMQ,AMQ-2556,5,1282
ActiveMQ,AMQ-2560,24,1435
ActiveMQ,AMQ-2563,4,772
ActiveMQ,AMQ-2564,1,0
ActiveMQ,AMQ-2566,6,1202
ActiveMQ,AMQ-2567,6,1256
ActiveMQ,AMQ-2568,4,418
ActiveMQ,AMQ-2571,57,1510
ActiveMQ,AMQ-2572,5,1320
ActiveMQ,AMQ-2573,14,1500
ActiveMQ,AMQ-2580,18,1685
ActiveMQ,AMQ-2584,7,1181
ActiveMQ,AMQ-2585,1,0
ActiveMQ,AMQ-2586,3,919
ActiveMQ,AMQ-2588,2,484
ActiveMQ,AMQ-2589,1,0
ActiveMQ,AMQ-2590,24,1523
ActiveMQ,AMQ-2598,16,1706
ActiveMQ,AMQ-2599,10,1502
ActiveMQ,AMQ-2604,1,0
ActiveMQ,AMQ-2607,1,0
ActiveMQ,AMQ-2608,1,0
ActiveMQ,AMQ-2610,22,1249
ActiveMQ,AMQ-2611,3,207
ActiveMQ,AMQ-2613,2,241
ActiveMQ,AMQ-2616,12,1266
